0,1,2,3,4,5,
0,Computer,Antivirus,Pendrive,HardDisk,SSD,Speaker
1,Computer,NaN,Pendrive,HardDisk,SSD,NaN
2,NaN,NaN,Pendrive,HardDisk,SSD,NaN
3,NaN,Antivirus,NaN,NaN,NaN,Speaker
4,Computer,Antivirus,Pendrive,HardDisk,SSD,Speaker
5,Computer,Antivirus,NaN,NaN,SSD,NaN
6,Computer,Antivirus,Pendrive,HardDisk,NaN,Speaker
7,Computer,Antivirus,NaN,NaN,SSD,NaN
8,Computer,NaN,Pendrive,NaN,NaN,Speaker
9,Computer,NaN,Pendrive,HardDisk,SSD,NaN
10,NaN,Antivirus,Pendrive,HardDisk,NaN,Speaker
11,Computer,NaN,NaN,HardDisk,SSD,Speaker
12,Computer,Antivirus,Pendrive,HardDisk,SSD,NaN
13,Computer,NaN,Pendrive,NaN,SSD,Speaker
14,Computer,NaN,Pendrive,HardDisk,SSD,Speaker
15,`,Antivirus,Pendrive,HardDisk,SSD,Speaker
16,NaN,Antivirus,Pendrive,HardDisk,SSD,Speaker
17,NaN,Antivirus,NaN,HardDisk,SSD,Speaker
18,Computer,Antivirus,Pendrive,HardDisk,SSD,Speaker
19,Computer,NaN,Pendrive,HardDisk,SSD,Speaker
20,Computer,Antivirus,Pendrive,NaN,SSD,Speaker
21,NaN,Antivirus,NaN,NaN,NaN,NaN
22,Computer,Antivirus,NaN,NaN,SSD,NaN
23,Computer,Antivirus,Pendrive,HardDisk,NaN,Speaker
24,Computer,Antivirus,NaN,NaN,SSD,NaN
25,Computer,NaN,Pendrive,NaN,NaN,Speaker
26,Computer,NaN,Pendrive,HardDisk,SSD,NaN
27,NaN,Antivirus,Pendrive,HardDisk,NaN,Speaker
28,Computer,NaN,NaN,HardDisk,SSD,Speaker
29,Computer,Antivirus,Pendrive,HardDisk,SSD,NaN
30,Computer,NaN,Pendrive,NaN,SSD,Speaker
31,Computer,NaN,Pendrive,HardDisk,SSD,Speaker
32,NaN,Antivirus,Pendrive,HardDisk,SSD,Speaker
33,NaN,Antivirus,NaN,HardDisk,SSD,Speaker
34,Computer,Antivirus,Pendrive,HardDisk,SSD,Speaker
35,Computer,NaN,Pendrive,HardDisk,SSD,Speaker
36,Computer,Antivirus,Pendrive,NaN,SSD,Speaker
37,NaN,Antivirus,NaN,NaN,NaN,NaN
38,Computer,Antivirus,NaN,NaN,SSD,NaN
39,Computer,Antivirus,Pendrive,HardDisk,NaN,Speaker
40,Computer,Antivirus,NaN,NaN,SSD,NaN
