Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
114004,1279.356,451.3612558,323.7479961,1.394174671,0.696795094,115298,380.9913399,0.748986604,0.988776909,0.875280258,0.844094027,0.00395917,0.001239788,0.712494726,0.9933421,BOMBAY
117034,1265.926,425.9237875,351.2151089,1.212714877,0.565721853,118019,386.0211353,0.746318911,0.991653886,0.917709597,0.906315042,0.003639317,0.001514664,0.821406955,0.996132434,BOMBAY
126503,1326.959,475.7724586,339.3818868,1.401879349,0.700830189,128220,401.3335547,0.771312725,0.986608953,0.902808585,0.843540956,0.003760958,0.001174635,0.711561345,0.997523155,BOMBAY
128118,1360.135,504.0249642,325.6784474,1.54761535,0.763205878,129274,403.8872417,0.782247133,0.991057753,0.870273946,0.801323883,0.003934068,0.001000585,0.642119966,0.993754716,BOMBAY
129409,1348.888,484.364424,341.1726593,1.419704689,0.709831188,130688,405.9170559,0.79933414,0.990213333,0.893763394,0.838040607,0.003742896,0.001138801,0.702312059,0.997075723,BOMBAY
129807,1356.314,493.241864,336.4648369,1.465953674,0.731212456,131148,406.5407797,0.806314756,0.989774911,0.886722008,0.824221968,0.003799809,0.001081729,0.679341852,0.995883684,BOMBAY
130070,1362.228,486.7062302,343.114783,1.41849391,0.709234078,131860,406.9524144,0.751536933,0.986424996,0.88082047,0.836135618,0.003741879,0.001128175,0.699122771,0.991701393,BOMBAY
131249,1374.898,521.1492464,323.7902564,1.609527267,0.783572436,132831,408.7926333,0.81498845,0.98809013,0.872498937,0.784406072,0.003970691,0.000927277,0.615292886,0.990330677,BOMBAY
131488,1368.233,485.8925009,345.6212635,1.405852452,0.702876202,132905,409.1646628,0.793367686,0.989338249,0.882624263,0.842088861,0.003695337,0.001146214,0.70911365,0.996909164,BOMBAY
132254,1358.189,497.7676684,339.6363418,1.465590124,0.731054561,133553,410.3547523,0.727117787,0.990273524,0.900944965,0.824390129,0.003763725,0.001072331,0.679619085,0.996043019,BOMBAY
132399,1335.884,486.8595673,346.5807118,1.404750901,0.702311275,133434,410.5796421,0.789965454,0.992243356,0.93230298,0.84332253,0.003677215,0.001147291,0.71119289,0.999048853,BOMBAY
132851,1369.46,511.9757505,333.4049732,1.535597222,0.758895493,134466,411.2798886,0.686341468,0.987989529,0.89017622,0.803319079,0.003853759,0.000989958,0.645321543,0.990953969,BOMBAY
132889,1373.51,499.646493,339.9068395,1.469951278,0.732938729,134325,411.3387045,0.789361449,0.989309511,0.885187446,0.823259465,0.003759878,0.00106537,0.677756147,0.996268514,BOMBAY
133760,1369.738,481.2607823,354.6256634,1.357095191,0.676036664,135151,412.6845302,0.744567154,0.989707808,0.895903257,0.857507084,0.003597942,0.00120001,0.7353184,0.997897064,BOMBAY
134012,1385.807,517.7649124,331.9160237,1.559927438,0.767494559,135500,413.0730902,0.76070569,0.98901845,0.876895924,0.79780047,0.003863571,0.000965486,0.636485589,0.992871334,BOMBAY
134251,1391.532,523.6290209,327.6755204,1.598010802,0.780001216,135409,413.441268,0.789683894,0.991448131,0.871246402,0.789569049,0.003900373,0.000935075,0.623419283,0.996230748,BOMBAY
135222,1371.667,495.1024098,348.7846686,1.419507376,0.709734019,136192,414.9337269,0.772423484,0.992877702,0.9031499,0.838076565,0.003661404,0.001114198,0.702372329,0.997022701,BOMBAY
135403,1381.938,523.2554269,332.1957763,1.575141721,0.772624311,137618,415.2113366,0.787849695,0.983904722,0.890965798,0.793515586,0.00386443,0.00094512,0.629666985,0.991814739,BOMBAY
135898,1385.644,509.4433176,341.4900636,1.491824717,0.742072131,137538,415.9695994,0.754787612,0.988076023,0.889446024,0.816517923,0.003748718,0.00102784,0.666701518,0.994601804,BOMBAY
137075,1432.713,526.8980615,334.1175121,1.576984272,0.773233229,139517,417.767053,0.67699716,0.982496757,0.839169548,0.792880224,0.003843867,0.000937084,0.62865905,0.991385434,BOMBAY
137115,1427.056,519.1997446,337.4746463,1.538485188,0.759942754,138970,417.8280031,0.789974016,0.986651795,0.846082671,0.804753869,0.003786601,0.000979674,0.647628789,0.996367299,BOMBAY
137358,1364.645,507.9858904,345.2228517,1.471472378,0.733590829,138093,418.1980839,0.798073348,0.9946775,0.926881995,0.82324744,0.003698262,0.00104785,0.677736348,0.997270315,BOMBAY
137518,1417.944,519.7799999,339.9302724,1.529078291,0.756504273,139153,418.4415798,0.778239315,0.988250343,0.859510632,0.805035938,0.003779723,0.000979266,0.648082862,0.990969434,BOMBAY
137748,1389.634,499.3705441,353.3013142,1.413440947,0.706720051,138869,418.7913571,0.809463366,0.991927644,0.896384428,0.838638486,0.003625247,0.001106156,0.70331451,0.994093528,BOMBAY
137890,1410.302,522.1875739,338.3644715,1.543269515,0.76166164,139207,419.0071608,0.782239216,0.990539269,0.871201054,0.802407376,0.003786987,0.000968396,0.643857597,0.993645801,BOMBAY
138059,1459.686,540.6778226,334.1664759,1.61798942,0.786137994,143275,419.2638528,0.767369603,0.963594486,0.814246128,0.775441188,0.003916281,0.000873472,0.601309035,0.972911657,BOMBAY
138114,1368.731,483.7173648,364.5190225,1.327001706,0.657357888,139491,419.3473578,0.793950264,0.990128395,0.926427334,0.866926408,0.003502305,0.001220289,0.751561398,0.997323257,BOMBAY
138244,1395.699,510.6812515,346.6453918,1.473209405,0.734332324,139249,419.544667,0.797365264,0.992782713,0.891810581,0.8215392,0.003694057,0.001037998,0.674926658,0.9943083,BOMBAY
138265,1396.139,512.8063507,345.1812989,1.485614523,0.739531344,139739,419.5765313,0.754836984,0.989451764,0.891383938,0.818196832,0.003708866,0.001025303,0.669446055,0.994538782,BOMBAY
138659,1415.439,509.8275207,347.5854183,1.466769012,0.731566018,139826,420.1739188,0.71073283,0.991653913,0.869712301,0.824149152,0.003676844,0.001046353,0.679221824,0.996261525,BOMBAY
138777,1403.006,502.613464,353.8114117,1.420568832,0.710256111,140144,420.3526666,0.823700142,0.990245747,0.885948143,0.836333876,0.003621735,0.001092987,0.699454352,0.993623053,BOMBAY
138976,1404.377,509.4100768,351.6482864,1.448635175,0.72351856,140912,420.6539421,0.738393531,0.986260929,0.885487134,0.825766826,0.003665454,0.001051326,0.68189085,0.987811071,BOMBAY
