0,1,2,3,4,5,
0,Wine,Chips,Bread,Butter,Milk,Apple
1,Wine,NaN,Bread,Butter,Milk,NaN
2,NaN,NaN,Bread,Butter,Milk,NaN
3,NaN,Chips,NaN,NaN,NaN,Apple
4,Wine,Chips,Bread,Butter,Milk,Apple
5,Wine,Chips,NaN,NaN,Milk,NaN
6,Wine,Chips,Bread,Butter,NaN,Apple
7,Wine,Chips,NaN,NaN,Milk,NaN
8,Wine,NaN,Bread,NaN,NaN,Apple
9,Wine,NaN,Bread,Butter,Milk,NaN
10,NaN,Chips,Bread,Butter,NaN,Apple
11,Wine,NaN,NaN,Butter,Milk,Apple
12,Wine,Chips,Bread,Butter,Milk,NaN
13,Wine,NaN,Bread,NaN,Milk,Apple
14,Wine,NaN,Bread,Butter,Milk,Apple
15,Wine,Chips,Bread,Butter,Milk,Apple
16,NaN,Chips,Bread,Butter,Milk,Apple
17,NaN,Chips,NaN,Butter,Milk,Apple
18,Wine,Chips,Bread,Butter,Milk,Apple
19,Wine,NaN,Bread,Butter,Milk,Apple
20,Wine,Chips,Bread,NaN,Milk,Apple
21,NaN,Chips,NaN,NaN,NaN,NaN
