Humidity,WindSpeed
0.89,251
0.86,259
0.89,204
0.83,269
0.83,259
0.85,258
0.95,259
0.89,260
0.82,259
0.72,279
0.67,290
0.54,316
0.55,281
0.51,289
0.47,262
0.46,288
0.6,251
0.63,230
0.69,163
0.7,139
0.77,147
0.76,160
0.79,163
0.77,152
0.62,150
0.66,149
0.8,163
0.79,180
0.82,161
0.83,135
0.85,141
0.83,150
0.78,160
0.72,150
0.61,151
0.52,169
0.46,169
0.4,170
0.4,187
0.37,179
0.4,162
0.36,161
0.43,160
0.5,150
0.53,149
0.55,159
0.58,159
0.59,168
0.6,160
0.63,160
0.87,32
0.83,152
0.89,180
0.95,161
0.93,140
0.93,103
0.82,113
0.79,129
0.84,159
0.73,207
0.67,153
0.67,4
0.71,341
0.74,15
0.81,348
0.9,321
0.86,311
0.99,339
0.93,340
0.96,330
0.96,339
0.96,339
0.96,341
0.93,19
0.82,277
0.93,9
0.93,0
0.93,350
0.93,349
0.93,348
0.93,349
0.8,349
0.86,339
0.84,339
0.77,348
0.71,339
0.71,338
0.71,320
0.76,311
0.66,311
0.7,310
0.7,328
0.66,348
0.71,20
0.72,28
0.72,11
0.75,326
0.75,309
0.88,193
0.76,273
0.7,300
0.73,309
0.76,300
0.76,300
0.76,307
0.71,319
0.73,328
0.72,318
0.7,321
0.7,349
0.65,348
0.62,243
0.65,177
0.65,170
0.7,172
0.75,172
0.75,150
0.82,142
0.83,141
0.84,141
0.85,142
0.88,130
0.88,359
0.91,166
0.94,145
0.93,170
0.92,178
0.92,223
0.87,240
0.76,231
0.66,230
0.63,214
0.58,222
0.59,241
0.5,235
0.44,238
0.55,211
0.5,221
0.56,215
0.68,224
0.64,231
0.69,358
0.72,8
0.81,59
0.83,63
0.8,65
0.74,146
0.93,305
0.89,327
0.86,319
0.86,271
0.84,297
0.84,289
0.72,310
0.71,301
0.65,307
0.48,307
0.47,308
0.43,279
0.4,272
0.37,351
0.43,175
0.52,172
0.63,160
0.67,138
0.72,141
0.66,141
0.67,149
0.69,151
0.71,158
0.86,259
0.59,141
0.6,151
0.68,152
0.77,132
0.77,150
0.77,163
0.81,209
0.62,221
0.53,230
0.56,251
0.56,250
0.56,240
0.56,243
0.59,281
0.57,295
0.67,280
0.73,280
0.78,279
0.84,270
0.84,277
0.86,239
0.93,241
0.9,242
0.95,266
0.93,278
0.89,269
0.87,269
0.89,297
0.86,307
0.75,305
0.68,308
0.67,300
0.57,319
0.62,309
0.56,290
0.54,297
0.59,319
0.57,310
0.55,316
0.54,309
0.61,310
0.69,325
0.72,282
0.79,281
0.85,274
0.88,280
0.92,255
0.82,46
0.96,277
0.96,284
0.95,283
0.96,313
0.93,290
0.81,345
0.78,16
0.77,332
0.68,350
0.62,330
0.64,12
0.47,39
0.51,3
0.55,9
0.53,33
0.64,24
0.62,33
0.61,25
0.72,32
0.75,31
0.75,47
0.75,67
0.72,60
0.92,144
0.83,57
0.85,31
0.86,12
0.85,12
0.85,2
0.82,11
0.8,11
0.83,19
0.78,18
0.78,20
0.67,48
0.71,46
0.69,29
0.69,19
0.69,340
0.71,39
0.93,335
0.93,228
0.93,274
0.91,310
0.9,315
0.8,146
0.79,160
0.93,40
0.77,143
0.83,133
0.83,163
0.78,136
0.89,158
0.84,151
0.73,355
0.67,123
0.67,132
0.71,199
0.61,227
0.57,251
0.51,156
0.53,113
0.61,261
0.71,357
0.76,147
0.8,161
0.86,149
0.86,190
0.9,138
0.92,311
0.91,178
0.95,298
0.94,123
0.94,10
0.95,133
0.99,127
0.99,81
0.98,358
0.99,152
0.92,135
0.82,153
0.86,120
0.82,162
